region_id,latitude,longitude,population,confirmed_cases,fatalities,CFR
R0082,28.7142,77.1806,1940139,90443,2014.0,0.02226816890196035
R0083,29.865,77.8699,936355,50496,1955.0,0.03871593789607097
R0084,28.8508,78.8543,590893,13690,300.0,0.02191380569758948
R0085,27.005,76.6819,1188129,18346,613.0,0.03341327809876812
R0086,30.205,77.8628,1385225,29620,717.0,0.024206617150573935
R0087,27.6479,78.5677,1868820,131984,5516.0,0.04179294459934538
R0088,28.3288,75.732,1941333,133851,5827.0,0.04353348125901189
R0089,28.6125,78.0928,858898,25026,752.0,0.030048749300727245
R0090,28.7417,76.7424,928561,17680,640.0,0.03619909502262444
R0091,28.8003,77.5141,495853,28273,,
R0092,29.7262,77.3684,1064600,68200,1535.0,0.02250733137829912
R0093,29.6475,77.1565,1126218,55483,1526.0,0.027503920119676298
R0094,29.4814,77.6188,1422955,35442,,
R0095,29.5508,75.6955,814875,33102,903.0,0.02727931847018307
R0096,29.2781,78.3044,823258,44082,1355.0,0.03073816977451114
R0097,27.3414,77.0581,945314,74303,692.0,0.009313217501312195
R0098,28.6328,76.0589,197933,3764,138.0,0.036663124335812966
R0099,28.9974,76.3506,404666,13838,406.0,0.029339499927735224
R0100,29.4682,76.3139,424963,5465,191.0,0.03494967978042086
R0101,12.6585,79.6364,395170,6405,121.0,0.018891491022638564
R0102,12.2545,79.8278,1031663,60174,482.0,0.008010104031641574
R0103,12.5229,80.4419,1753478,130565,2464.0,0.018871826293417073
R0104,12.9059,80.762,409815,10103,278.0,0.027516579233890923
R0105,12.8627,78.4292,1255596,44980,,
R0106,12.8835,80.7319,1047771,49505,1144.0,0.02310877689122311
R0107,12.9804,79.5063,1088603,29362,365.0,0.012431033308357741
R0108,11.9449,79.7534,283536,20510,188.0,0.00916626036079961
R0109,14.4324,80.976,1588883,71326,1481.0,0.02076381684098365
R0110,12.3937,81.4892,891736,16881,,
R0111,12.3822,79.1645,1309538,65417,393.0,0.006007612700062675
R0112,13.5331,79.7502,413805,12396,187.0,0.015085511455308164
R0113,13.1215,79.6059,850273,66973,1179.0,0.017604109118600032
R0114,12.3566,79.8093,383230,21769,,
R0115,13.1622,80.8718,1164644,34471,461.0,0.013373560384090976
R0116,13.5392,79.6601,1039840,28043,54.0,0.0019256142352815319
R0117,13.2905,79.5472,612829,31062,600.0,0.019316206297083253
R0118,12.1139,79.7492,706378,13710,280.0,0.020423048869438368
R0119,13.8877,79.8092,546549,31538,797.0,0.02527110152831505
R0120,14.236,78.2934,730293,54820,,
R0121,13.3796,79.7875,1879763,42644,889.0,0.020847012475377544
R0122,12.9582,81.2049,322556,21181,477.0,0.022520183183041404
R0123,12.6926,79.9247,370318,24818,568.0,0.022886614553952776
R0124,14.743,80.9676,815267,54754,916.0,0.01672937137012821
R0125,11.4522,79.4642,952225,29610,597.0,0.020162107396149948
R0126,14.4238,80.5322,798587,38371,683.0,0.017799900966876028
R0127,13.2712,80.8874,277951,21065,109.0,0.005174460004747211
R0128,13.9977,80.5415,1259141,59610,944.0,0.01583626908236873
R0129,13.2282,80.4693,345766,11002,311.0,0.028267587711325214
R0130,12.3978,80.328,1536794,109686,1669.0,0.015216162500227923
R0131,13.9127,79.8627,265731,18402,318.0,0.01728073035539615
R0132,12.2997,79.9153,497040,30099,715.0,0.023754942024651983
R0133,13.7784,81.3552,1403199,67340,825.0,0.012251262251262251
R0134,12.087,78.8477,950911,72563,2536.0,0.034948940920303734
R0135,13.3067,79.3703,1036482,54728,1154.0,0.02108609852360766
R0136,13.6633,80.6555,1429115,29550,657.0,0.022233502538071066
R0137,14.5883,81.347,877054,53983,545.0,0.010095770890836004
R0138,12.9821,80.3153,1202987,45629,1411.0,0.030923316311994565
R0139,12.9563,79.9292,1615564,16679,164.0,0.009832723784399545
R0140,11.7588,80.9292,725374,24870,515.0,0.02070767993566546
R0141,12.8141,81.6059,487979,20334,356.0,0.017507622700895054
R0142,12.8645,78.1132,1833949,64862,1262.0,0.01945669267059295
R0143,14.5619,81.172,75534,4263,73.0,0.01712409101571663
R0144,12.1975,82.3294,180799,11299,232.0,0.02053279051243473
R0145,13.2412,80.1552,450022,10507,206.0,0.019605976967735795
R0146,12.648,79.7004,1562278,65194,1373.0,0.02106022026566862
R0147,10.9619,81.1439,831487,40888,677.0,0.01655742516141655
R0148,12.7855,79.1447,1305799,50418,616.0,0.012217858701257488
R0149,13.8312,81.2879,102837,2626,,
R0150,12.1795,79.8511,1322854,35284,878.0,0.024883800022673166
R0151,22.3803,88.064,1458420,101941,3505.0,0.03438263309169029
R0152,23.5001,87.499,621638,45220,1996.0,0.04413976116762494
R0153,22.8335,87.363,871777,63192,,
R0154,23.4118,87.8004,1201075,34548,826.0,0.023908764617343984
R0155,21.5483,89.7677,1126492,45655,1831.0,0.040105136348702226
R0156,22.4952,87.928,1743512,76924,3230.0,0.04198949612604649
R0157,22.664,88.4841,879166,10174,417.0,0.040986829172400235
R0158,21.2045,87.2854,321744,22021,,
R0159,22.5873,88.642,384774,11182,446.0,0.039885530316580216
R0160,21.7899,88.6905,1320269,89886,1885.0,0.020971007720890906
R0161,22.7774,89.1501,1221007,69051,1352.0,0.019579730923520295
R0162,21.5489,87.864,374252,23077,882.0,0.03821987260042466
R0163,22.722,87.7596,528430,19684,566.0,0.028754318228002437
R0164,21.4913,87.5832,1154489,50016,2427.0,0.04852447216890595
R0165,22.9673,88.5118,1478515,37030,,
R0166,22.6702,90.412,701775,44888,,
R0167,22.5446,89.7805,1392384,56305,2538.0,0.04507592576147767
R0168,22.1226,88.8698,580683,29798,1422.0,0.04772132357876368
R0169,21.9909,88.1659,1838761,35997,1341.0,0.037253104425368784
R0170,23.0691,88.5061,1752244,107335,2645.0,0.024642474495737643
R0171,23.0204,89.2285,1399939,97216,3625.0,0.03728810072416063
R0172,21.2438,88.7076,402121,20007,801.0,0.04003598740440846
R0173,21.7078,89.2064,1852572,144452,5432.0,0.0376041868579182
R0174,23.1178,88.3866,672245,45728,1751.0,0.038291637508747374
R0175,22.6495,87.9941,498517,9192,369.0,0.04014360313315927
R0176,22.1896,89.3685,177444,5690,,
R0177,23.7302,88.5211,671567,36138,1469.0,0.04064973158448171
R0178,23.2843,88.4297,1881182,123997,6033.0,0.04865440292910312
R0179,22.1588,89.4914,985757,53157,1783.0,0.03354214872923603
R0180,23.7353,89.6276,515615,9143,299.0,0.03270261402165591
R0181,21.497,87.629,627800,16544,622.0,0.03759671179883946
R0182,22.76,89.6043,475595,36381,1019.0,0.028009125642505704
R0183,23.3601,88.1927,1892227,80832,,
R0184,22.8785,88.4971,1235086,56675,2432.0,0.04291133656815174
R0185,22.0624,87.9391,479948,11063,349.0,0.03154659676398807
R0186,23.5238,89.5003,1407240,29232,943.0,0.0322591680350301
R0187,22.1308,88.8702,486444,23148,1237.0,0.053438742007948854
R0188,24.0093,87.8737,1783058,137109,4678.0,0.03411883975523124
R0189,22.8013,88.6315,1327721,64474,2335.0,0.03621614914539194
R0190,21.934,87.2604,1460669,65308,2004.0,0.030685367795675874
R0191,22.1585,88.5429,1709853,76362,4831.0,0.06326445090490035
R0192,22.1479,87.9723,1372131,68059,3296.0,0.0484285693295523
R0193,23.0397,88.0765,1604980,90025,4159.0,0.04619827825603999
R0194,22.9784,89.2172,1256292,78757,3913.0,0.049684472491334106
R0195,22.4389,88.4813,703481,43647,1819.0,0.041675258322450566
R0196,22.2579,88.3869,62452,1879,95.0,0.05055880787653007
R0197,22.7255,88.401,1282036,36135,,
R0198,24.3032,88.1177,1534004,73461,2952.0,0.0401845877404337
R0199,22.4964,88.5871,1283612,96581,3238.0,0.03352626292956171
R0200,22.7279,89.2228,181333,9203,255.0,0.02770835597087906
R0201,13.9276,76.3761,139196,9883,93.0,0.009410098148335525
R0202,13.2734,78.847,1382425,56974,817.0,0.014339874328641134
R0203,11.8132,75.8356,369066,24224,115.0,0.004747357992073977
R0204,13.5383,77.7896,1326296,38632,,
R0205,13.4918,77.5153,868468,47502,47.0,0.0009894320239147826
R0206,12.4181,77.5581,1793493,46804,815.0,0.017413041620374325
R0207,11.9704,78.7496,1735498,74842,1379.0,0.018425483017556987
R0208,13.337,78.0504,1533996,82583,1608.0,0.01947131976314738
R0209,13.1288,78.1618,1603247,70072,577.0,0.008234387487156068
R0210,14.4124,77.5625,175207,8889,8.0,0.0008999887501406232
R0211,13.6441,77.0725,655205,27430,287.0,0.01046299671892089
R0212,11.0325,76.3275,1405214,98658,,
R0213,12.198,77.5564,521987,41271,617.0,0.01494996486637106
R0214,12.0449,78.7973,1141314,12193,289.0,0.02370212416960551
R0215,13.1383,75.9612,221339,7645,38.0,0.004970568999345977
R0216,12.7467,79.0327,1611144,38684,,
R0217,14.0911,78.3343,111592,8429,131.0,0.015541582631391625
R0218,12.4541,78.1532,1442469,95377,1805.0,0.01892489803621418
R0219,13.8112,77.1664,206223,14979,,
R0220,13.1297,79.2548,1076485,65893,534.0,0.008104047470899793
R0221,12.4505,77.2075,1749977,44353,897.0,0.020224111108605957
R0222,12.5126,77.5751,1132958,68367,,
R0223,13.002,77.6906,439107,25299,314.0,0.012411557769081781
R0224,11.6367,77.914,1498277,59608,1279.0,0.021456851429338345
R0225,11.991,76.4231,1975916,25306,436.0,0.017229115624753023
R0226,13.8093,78.9417,999004,71068,739.0,0.010398491585523724
R0227,12.8335,78.3015,589814,30354,,
R0228,14.0757,77.0941,1445858,106461,2018.0,0.018955298184311627
R0229,12.5314,77.0573,1944220,44072,649.0,0.014725903067707389
R0230,13.9098,78.0295,918345,42278,477.0,0.011282463692700695
R0231,13.8906,76.2028,368871,13786,28.0,0.0020310459886841723
R0232,13.9003,77.2204,1941151,81072,1496.0,0.01845273337280442
R0233,13.0331,76.5682,707156,48102,48.0,0.0009978795060496446
R0234,12.6291,78.7952,375731,8165,,
R0235,12.7143,79.256,1696132,112617,2849.0,0.02529813438468437
R0236,13.1626,77.3874,576011,8061,105.0,0.013025679196129512
R0237,13.5537,77.6362,126719,2350,52.0,0.022127659574468085
R0238,12.907,77.6575,131067,2671,,
R0239,13.7047,77.8718,936742,43176,,
R0240,12.8599,78.4811,443614,25348,116.0,0.004576297932775761
R0241,12.4726,79.1258,1742877,39041,925.0,0.023693040649573525
R0242,13.3681,77.7149,1019490,54287,1012.0,0.018641663750069076
R0243,13.1325,78.4351,109254,8212,213.0,0.025937652216268876
R0244,13.9212,78.1056,818035,45471,162.0,0.0035627102988718086
R0245,13.2137,76.9912,1998856,26734,383.0,0.014326326026782375
R0246,13.2346,77.8517,1155681,71295,1370.0,0.019215933796198893
R0247,12.7763,78.3659,687714,39015,818.0,0.020966295014737922
R0248,13.5325,77.3565,1644776,30287,870.0,0.02872519562848747
R0249,12.8331,77.6071,682942,24348,753.0,0.030926564810251356
R0250,12.294,76.8015,513211,18541,,
R0251,24.3361,73.3793,1258006,53395,,
R0252,22.7626,70.5719,100002,3388,247.0,0.07290436835891381
R0253,21.9108,71.2551,1181336,55938,3571.0,0.0638385355214702
R0254,23.4736,73.0472,1913271,21574,1262.0,0.058496338184852135
R0255,23.6296,72.7964,524790,39302,1668.0,0.04244058826522823
R0256,22.798,71.217,605502,19079,935.0,0.04900676136065832
R0257,23.1664,73.685,657050,34641,1389.0,0.04009699489044773
R0258,23.7751,71.7854,403241,23258,1110.0,0.04772551380170264
R0259,23.1068,71.5042,1432640,25044,853.0,0.034060054304424214
R0260,23.3749,72.5557,1621685,78677,4368.0,0.05551813109294965
R0261,23.1227,72.2279,1905236,99287,5012.0,0.05047992184273873
R0262,23.055,72.0098,1241412,48132,2087.0,0.04335992686778027
R0263,22.0274,72.0171,1572024,45960,2162.0,0.04704090513489991
R0264,24.0207,72.0326,1266525,52717,2782.0,0.05277235047517879
R0265,22.0724,72.8193,1486903,104671,5039.0,0.04814131898997812
R0266,22.9186,72.6064,1233833,59555,2890.0,0.04852657207623205
R0267,22.5765,71.4756,1209228,54141,,
R0268,24.3338,73.9136,1400250,111162,4942.0,0.044457638401612064
R0269,23.4777,73.8741,584613,9096,401.0,0.04408531222515391
R0270,22.2107,72.052,185376,8589,324.0,0.037722668529514496
R0271,23.2095,71.3267,1766154,98130,2950.0,0.0300621624375828
R0272,23.3217,73.5535,1988571,112013,4245.0,0.037897386910447896
R0273,24.3606,72.9066,957150,13601,755.0,0.05551062421880744
R0274,23.0833,73.0024,441820,20989,856.0,0.04078326742579447
R0275,22.9335,71.8483,1524518,52336,3187.0,0.06089498624273922
R0276,23.5098,71.6975,1985342,148682,6963.0,0.0468314927159979
R0277,23.993,72.6848,1065868,57184,2969.0,0.05192011751538892
R0278,22.7752,72.6782,1574954,93886,4551.0,0.04847368084698464
R0279,22.3937,71.5064,220903,16697,528.0,0.03162244714619393
R0280,23.4289,71.6887,1221158,56292,1602.0,0.02845875079940311
R0281,23.0176,73.2422,1984708,138135,7019.0,0.05081261085170304
R0282,22.9434,73.3067,1742710,115741,,
R0283,22.488,73.365,207792,7939,439.0,0.05529663685602721
R0284,22.3037,72.5939,1299895,87838,4383.0,0.049898677110134564
R0285,23.0025,73.2256,1232193,78289,3922.0,0.05009643755827766
R0286,21.973,71.7193,766692,11325,531.0,0.046887417218543045
R0287,23.0678,72.9952,1933353,77865,,
R0288,21.4421,71.8199,1299611,32649,1585.0,0.04854666299120953
R0289,24.2471,73.5464,346448,4952,237.0,0.047859450726978996
R0290,24.2151,72.6903,1968173,52634,,
R0291,22.5318,72.3294,1399714,20100,1037.0,0.051592039800995027
R0292,23.0249,72.921,647194,34736,2150.0,0.06189543988945186
R0293,20.9794,73.3189,304885,21970,798.0,0.036322257624032774
R0294,22.8427,71.6353,1663698,102072,3264.0,0.03197742769809546
R0295,22.5613,70.4986,87424,2464,109.0,0.044237012987012984
R0296,23.3359,71.3883,73635,1979,,
R0297,23.0103,73.0348,263985,12765,790.0,0.06188797493145319
R0298,22.8957,72.5496,342594,11212,455.0,0.04058151980021406
R0299,22.8841,73.9408,782982,29450,1905.0,0.06468590831918505
R0300,22.855,72.0361,1391862,56554,3415.0,0.06038476500335962
