region_id,latitude,longitude,population,confirmed_cases,fatalities,CFR,cluster
R0034,19.2237,73.0856,711108,24493,969,0.0395623239292859,3
R0035,19.4936,73.1153,1779818,114960,4391,0.0381958942240779,1
R0036,19.2618,73.1122,59870,1272,48,0.0377358490566037,3
R0037,20.5686,73.2568,1321324,33956,1197,0.0352515019436918,3
R0038,19.7057,73.8046,1316784,91444,3364,0.0367875421022702,1
R0039,19.7336,74.3951,232665,8315,300,0.0360793746241731,3
R0040,18.4234,72.816,1789490,96954,4693,0.04840439796192,1
R0041,19.0864,74.0405,1174962,52257,2678,0.0512467229270719,3
R0042,18.3903,72.021,1883894,144635,7206,0.0498219656376395,1
R0043,18.8972,73.4489,80140,6009,358,0.0595773007155932,3
R0044,19.0177,72.2003,1709716,55026,1642,0.0298404390651691,3
R0045,19.2473,71.8811,1875501,110133,3982,0.036156283765992,1
R0046,19.199,72.9243,1760877,108916,4152,0.0381211208637849,1
R0047,19.9424,73.7207,751007,22944,876,0.0381799163179916,3
R0048,19.487,73.2897,1606675,89166,7447,0.0835183814458425,1
R0049,19.8392,73.3988,1785510,60099,2239,0.0372551955939366,3
R0050,18.8865,72.4894,957916,45965,2106,0.0458174698139889,3
R0051,29.2531,75.8123,109475,1380,34,0.0246376811594202,4
R0052,29.5753,77.1539,1551487,38953,748,0.0192026288090776,4
R0053,28.1198,77.2757,150779,7115,365,0.0513000702740688,4
R0054,29.2112,75.4824,1600613,46350,1476,0.0318446601941747,4
R0055,28.0701,77.0107,99433,7694,269,0.0349623082921757,4
R0056,29.3967,76.1423,355052,9769,260,0.0266148019244549,4
R0057,30.1165,77.4265,1337384,39580,2027,0.0512127337038908,4
R0058,29.5301,75.887,744146,46917,1368,0.0291578745444082,4
R0059,29.0592,77.7222,974638,16421,16,0.0009743620973144,4
R0060,27.8846,76.9004,827084,43926,769,0.0175067158402768,4
R0061,28.3521,77.2071,780494,41998,1049,0.0249773798752321,4
R0062,28.7123,76.3173,187609,10312,357,0.0346198603568657,4
R0063,28.7599,76.7942,1883448,94705,4343,0.045858191225384,1
R0064,27.7138,78.8089,1885856,69827,731,0.010468729860942,4
R0065,28.9289,76.6043,188817,6104,147,0.0240825688073394,4
R0066,29.3838,77.3881,1276438,91167,2103,0.0230675573398269,4
R0067,29.3544,77.6062,599967,13451,504,0.0374693331350829,4
R0068,29.1924,77.0858,775435,49898,1555,0.0311635736903282,4
R0069,29.1418,76.9407,1723904,69007,2639,0.0382424971379715,4
R0070,29.3549,78.1469,674096,48997,1480,0.0302059309753658,4
R0071,28.9634,76.9984,1903683,95451,2082,0.021812238740296,4
R0072,30.378,76.2977,1361410,85314,1523,0.017851700775957,4
R0073,29.2034,77.6052,227851,10164,312,0.0306965761511216,4
R0074,28.1624,77.8826,734284,13360,290,0.0217065868263473,4
R0075,29.0344,76.6515,1255525,21442,695,0.032413021173398,4
R0076,28.2985,76.7257,215433,17033,550,0.0322902600833675,4
R0077,27.5456,75.9765,1634959,124759,4968,0.0398207744531456,1
R0078,28.5333,77.3512,877232,64428,2130,0.0330601601788042,4
R0079,28.6889,76.3005,72139,3087,154,0.0498866213151927,4
R0080,28.0423,77.518,1926236,69808,3164,0.0453243181297272,1
R0081,29.2562,76.7815,486011,37629,1213,0.0322357755986074,4
R0082,28.7142,77.1806,1940139,90443,2014,0.0222681689019603,4
R0083,29.865,77.8699,936355,50496,1955,0.0387159378960709,4
R0084,28.8508,78.8543,590893,13690,300,0.0219138056975894,4
R0085,27.005,76.6819,1188129,18346,613,0.0334132780987681,4
R0086,30.205,77.8628,1385225,29620,717,0.0242066171505739,4
R0087,27.6479,78.5677,1868820,131984,5516,0.0417929445993453,1
R0088,28.3288,75.732,1941333,133851,5827,0.0435334812590118,1
R0089,28.6125,78.0928,858898,25026,752,0.0300487493007272,4
R0090,28.7417,76.7424,928561,17680,640,0.0361990950226244,4
R0091,28.8003,77.5141,495853,28273,790,0.027941852650939,4
R0092,29.7262,77.3684,1064600,68200,1535,0.0225073313782991,4
R0093,29.6475,77.1565,1126218,55483,1526,0.0275039201196762,4
R0094,29.4814,77.6188,1422955,35442,1198,0.0338017041927656,4
R0095,29.5508,75.6955,814875,33102,903,0.027279318470183,4
R0096,29.2781,78.3044,823258,44082,1355,0.0307381697745111,4
R0097,27.3414,77.0581,945314,74303,692,0.0093132175013121,4
R0098,28.6328,76.0589,197933,3764,138,0.0366631243358129,4
R0099,28.9974,76.3506,404666,13838,406,0.0293394999277352,4
R0100,29.4682,76.3139,424963,5465,191,0.0349496797804208,4
R0101,12.6585,79.6364,395170,6405,121,0.0188914910226385,0
R0102,12.2545,79.8278,1031663,60174,482,0.0080101040316415,0
R0103,12.5229,80.4419,1753478,130565,2464,0.018871826293417,1
R0104,12.9059,80.762,409815,10103,278,0.0275165792338909,0
R0105,12.8627,78.4292,1255596,44980,587,0.0130502445531347,0
R0106,12.8835,80.7319,1047771,49505,1144,0.0231087768912231,0
R0107,12.9804,79.5063,1088603,29362,365,0.0124310333083577,0
R0108,11.9449,79.7534,283536,20510,188,0.0091662603607996,0
R0109,14.4324,80.976,1588883,71326,1481,0.0207638168409836,0
R0110,12.3937,81.4892,891736,16881,310,0.0183638410046798,0
R0111,12.3822,79.1645,1309538,65417,393,0.0060076127000626,0
R0112,13.5331,79.7502,413805,12396,187,0.0150855114553081,0
R0113,13.1215,79.6059,850273,66973,1179,0.0176041091186,0
R0114,12.3566,79.8093,383230,21769,356,0.0163535302494372,0
R0115,13.1622,80.8718,1164644,34471,461,0.0133735603840909,0
R0116,13.5392,79.6601,1039840,28043,54,0.0019256142352815,0
R0117,13.2905,79.5472,612829,31062,600,0.0193162062970832,0
R0118,12.1139,79.7492,706378,13710,280,0.0204230488694383,0
R0119,13.8877,79.8092,546549,31538,797,0.025271101528315,0
R0120,14.236,78.2934,730293,54820,691,0.012604888726742,0
R0121,13.3796,79.7875,1879763,42644,889,0.0208470124753775,0
R0122,12.9582,81.2049,322556,21181,477,0.0225201831830414,0
R0123,12.6926,79.9247,370318,24818,568,0.0228866145539527,0
R0124,14.743,80.9676,815267,54754,916,0.0167293713701282,0
R0125,11.4522,79.4642,952225,29610,597,0.0201621073961499,0
R0126,14.4238,80.5322,798587,38371,683,0.017799900966876,0
R0127,13.2712,80.8874,277951,21065,109,0.0051744600047472,0
R0128,13.9977,80.5415,1259141,59610,944,0.0158362690823687,0
R0129,13.2282,80.4693,345766,11002,311,0.0282675877113252,0
R0130,12.3978,80.328,1536794,109686,1669,0.0152161625002279,0
R0131,13.9127,79.8627,265731,18402,318,0.0172807303553961,0
R0132,12.2997,79.9153,497040,30099,715,0.0237549420246519,0
R0133,13.7784,81.3552,1403199,67340,825,0.0122512622512622,0
R0134,12.087,78.8477,950911,72563,2536,0.0349489409203037,0
R0135,13.3067,79.3703,1036482,54728,1154,0.0210860985236076,0
R0136,13.6633,80.6555,1429115,29550,657,0.022233502538071,0
R0137,14.5883,81.347,877054,53983,545,0.010095770890836,0
R0138,12.9821,80.3153,1202987,45629,1411,0.0309233163119945,0
R0139,12.9563,79.9292,1615564,16679,164,0.0098327237843995,0
R0140,11.7588,80.9292,725374,24870,515,0.0207076799356654,0
R0141,12.8141,81.6059,487979,20334,356,0.017507622700895,0
R0142,12.8645,78.1132,1833949,64862,1262,0.0194566926705929,0
R0143,14.5619,81.172,75534,4263,73,0.0171240910157166,0
R0144,12.1975,82.3294,180799,11299,232,0.0205327905124347,0
R0145,13.2412,80.1552,450022,10507,206,0.0196059769677357,0
R0146,12.648,79.7004,1562278,65194,1373,0.0210602202656686,0
R0147,10.9619,81.1439,831487,40888,677,0.0165574251614165,0
R0148,12.7855,79.1447,1305799,50418,616,0.0122178587012574,0
R0149,13.8312,81.2879,102837,2626,176,0.067022086824067,3
R0150,12.1795,79.8511,1322854,35284,878,0.0248838000226731,0
R0151,22.3803,88.064,1458420,101941,3505,0.0343826330916902,2
R0152,23.5001,87.499,621638,45220,1996,0.0441397611676249,2
R0153,22.8335,87.363,871777,63192,2344,0.0370933029497404,2
R0154,23.4118,87.8004,1201075,34548,826,0.0239087646173439,2
R0155,21.5483,89.7677,1126492,45655,1831,0.0401051363487022,2
R0156,22.4952,87.928,1743512,76924,3230,0.0419894961260464,2
R0157,22.664,88.4841,879166,10174,417,0.0409868291724002,2
R0158,21.2045,87.2854,321744,22021,806,0.0366014259116298,2
R0159,22.5873,88.642,384774,11182,446,0.0398855303165802,2
R0160,21.7899,88.6905,1320269,89886,1885,0.0209710077208909,2
R0161,22.7774,89.1501,1221007,69051,1352,0.0195797309235202,2
R0162,21.5489,87.864,374252,23077,882,0.0382198726004246,2
R0163,22.722,87.7596,528430,19684,566,0.0287543182280024,2
R0164,21.4913,87.5832,1154489,50016,2427,0.0485244721689059,2
R0165,22.9673,88.5118,1478515,37030,1290,0.0348366189576019,2
R0166,22.6702,90.412,701775,44888,1771,0.0394537515594368,2
R0167,22.5446,89.7805,1392384,56305,2538,0.0450759257614776,2
R0168,22.1226,88.8698,580683,29798,1422,0.0477213235787636,2
R0169,21.9909,88.1659,1838761,35997,1341,0.0372531044253687,2
R0170,23.0691,88.5061,1752244,107335,2645,0.0246424744957376,2
R0171,23.0204,89.2285,1399939,97216,3625,0.0372881007241606,2
R0172,21.2438,88.7076,402121,20007,801,0.0400359874044084,2
R0173,21.7078,89.2064,1852572,144452,5432,0.0376041868579182,1
R0174,23.1178,88.3866,672245,45728,1751,0.0382916375087473,2
R0175,22.6495,87.9941,498517,9192,369,0.0401436031331592,2
R0176,22.1896,89.3685,177444,5690,306,0.0537785588752196,2
R0177,23.7302,88.5211,671567,36138,1469,0.0406497315844817,2
R0178,23.2843,88.4297,1881182,123997,6033,0.0486544029291031,1
R0179,22.1588,89.4914,985757,53157,1783,0.033542148729236,2
R0180,23.7353,89.6276,515615,9143,299,0.0327026140216559,2
R0181,21.497,87.629,627800,16544,622,0.0375967117988394,2
R0182,22.76,89.6043,475595,36381,1019,0.0280091256425057,2
R0183,23.3601,88.1927,1892227,80832,3792,0.0469121140142517,2
R0184,22.8785,88.4971,1235086,56675,2432,0.0429113365681517,2
R0185,22.0624,87.9391,479948,11063,349,0.031546596763988,2
R0186,23.5238,89.5003,1407240,29232,943,0.0322591680350301,2
R0187,22.1308,88.8702,486444,23148,1237,0.0534387420079488,2
R0188,24.0093,87.8737,1783058,137109,4678,0.0341188397552312,1
R0189,22.8013,88.6315,1327721,64474,2335,0.0362161491453919,2
R0190,21.934,87.2604,1460669,65308,2004,0.0306853677956758,2
R0191,22.1585,88.5429,1709853,76362,4831,0.0632644509049003,2
R0192,22.1479,87.9723,1372131,68059,3296,0.0484285693295523,2
R0193,23.0397,88.0765,1604980,90025,4159,0.0461982782560399,2
R0194,22.9784,89.2172,1256292,78757,3913,0.0496844724913341,2
R0195,22.4389,88.4813,703481,43647,1819,0.0416752583224505,2
R0196,22.2579,88.3869,62452,1879,95,0.05055880787653,2
R0197,22.7255,88.401,1282036,36135,1283,0.0355057423550574,2
R0198,24.3032,88.1177,1534004,73461,2952,0.0401845877404337,2
R0199,22.4964,88.5871,1283612,96581,3238,0.0335262629295617,2
R0200,22.7279,89.2228,181333,9203,255,0.027708355970879,2
R0201,13.9276,76.3761,139196,9883,93,0.0094100981483355,0
R0202,13.2734,78.847,1382425,56974,817,0.0143398743286411,0
R0203,11.8132,75.8356,369066,24224,115,0.0047473579920739,0
R0204,13.5383,77.7896,1326296,38632,579,0.0149875750673017,0
R0205,13.4918,77.5153,868468,47502,47,0.0009894320239147,0
R0206,12.4181,77.5581,1793493,46804,815,0.0174130416203743,0
R0207,11.9704,78.7496,1735498,74842,1379,0.0184254830175569,0
R0208,13.337,78.0504,1533996,82583,1608,0.0194713197631473,0
R0209,13.1288,78.1618,1603247,70072,577,0.008234387487156,0
R0210,14.4124,77.5625,175207,8889,8,0.0008999887501406,0
R0211,13.6441,77.0725,655205,27430,287,0.0104629967189208,0
R0212,11.0325,76.3275,1405214,98658,1936,0.0196233452938433,0
R0213,12.198,77.5564,521987,41271,617,0.014949964866371,0
R0214,12.0449,78.7973,1141314,12193,289,0.0237021241696055,0
R0215,13.1383,75.9612,221339,7645,38,0.0049705689993459,0
R0216,12.7467,79.0327,1611144,38684,863,0.022308964946748,0
R0217,14.0911,78.3343,111592,8429,131,0.0155415826313916,0
R0218,12.4541,78.1532,1442469,95377,1805,0.0189248980362141,0
R0219,13.8112,77.1664,206223,14979,68,0.0045396888977902,0
R0220,13.1297,79.2548,1076485,65893,534,0.0081040474708997,0
R0221,12.4505,77.2075,1749977,44353,897,0.0202241111086059,0
R0222,12.5126,77.5751,1132958,68367,1317,0.0192636798455395,0
R0223,13.002,77.6906,439107,25299,314,0.0124115577690817,0
R0224,11.6367,77.914,1498277,59608,1279,0.0214568514293383,0
R0225,11.991,76.4231,1975916,25306,436,0.017229115624753,0
R0226,13.8093,78.9417,999004,71068,739,0.0103984915855237,0
R0227,12.8335,78.3015,589814,30354,451,0.0148580088291493,0
R0228,14.0757,77.0941,1445858,106461,2018,0.0189552981843116,0
R0229,12.5314,77.0573,1944220,44072,649,0.0147259030677073,0
R0230,13.9098,78.0295,918345,42278,477,0.0112824636927006,0
R0231,13.8906,76.2028,368871,13786,28,0.0020310459886841,0
R0232,13.9003,77.2204,1941151,81072,1496,0.0184527333728044,0
R0233,13.0331,76.5682,707156,48102,48,0.0009978795060496,0
R0234,12.6291,78.7952,375731,8165,216,0.0264543784445805,0
R0235,12.7143,79.256,1696132,112617,2849,0.0252981343846843,1
R0236,13.1626,77.3874,576011,8061,105,0.0130256791961295,0
R0237,13.5537,77.6362,126719,2350,52,0.022127659574468,0
R0238,12.907,77.6575,131067,2671,98,0.0366903781355297,0
R0239,13.7047,77.8718,936742,43176,404,0.0093570502130813,0
R0240,12.8599,78.4811,443614,25348,116,0.0045762979327757,0
R0241,12.4726,79.1258,1742877,39041,925,0.0236930406495735,0
R0242,13.3681,77.7149,1019490,54287,1012,0.018641663750069,0
R0243,13.1325,78.4351,109254,8212,213,0.0259376522162688,0
R0244,13.9212,78.1056,818035,45471,162,0.0035627102988718,0
R0245,13.2137,76.9912,1998856,26734,383,0.0143263260267823,0
R0246,13.2346,77.8517,1155681,71295,1370,0.0192159337961988,0
R0247,12.7763,78.3659,687714,39015,818,0.0209662950147379,0
R0248,13.5325,77.3565,1644776,30287,870,0.0287251956284874,0
R0249,12.8331,77.6071,682942,24348,753,0.0309265648102513,0
R0250,12.294,76.8015,513211,18541,407,0.0219513510598133,0
R0251,24.3361,73.3793,1258006,53395,2771,0.0518962449667571,3
R0252,22.7626,70.5719,100002,3388,247,0.0729043683589138,3
R0253,21.9108,71.2551,1181336,55938,3571,0.0638385355214702,3
R0254,23.4736,73.0472,1913271,21574,1262,0.0584963381848521,3
R0255,23.6296,72.7964,524790,39302,1668,0.0424405882652282,3
R0256,22.798,71.217,605502,19079,935,0.0490067613606583,3
R0257,23.1664,73.685,657050,34641,1389,0.0400969948904477,3
R0258,23.7751,71.7854,403241,23258,1110,0.0477255138017026,3
R0259,23.1068,71.5042,1432640,25044,853,0.0340600543044242,3
R0260,23.3749,72.5557,1621685,78677,4368,0.0555181310929496,1
R0261,23.1227,72.2279,1905236,99287,5012,0.0504799218427387,1
R0262,23.055,72.0098,1241412,48132,2087,0.0433599268677802,3
R0263,22.0274,72.0171,1572024,45960,2162,0.0470409051348999,3
R0264,24.0207,72.0326,1266525,52717,2782,0.0527723504751787,3
R0265,22.0724,72.8193,1486903,104671,5039,0.0481413189899781,1
R0266,22.9186,72.6064,1233833,59555,2890,0.048526572076232,3
R0267,22.5765,71.4756,1209228,54141,2900,0.0535638425592434,3
R0268,24.3338,73.9136,1400250,111162,4942,0.044457638401612,1
R0269,23.4777,73.8741,584613,9096,401,0.0440853122251539,3
R0270,22.2107,72.052,185376,8589,324,0.0377226685295144,3
R0271,23.2095,71.3267,1766154,98130,2950,0.0300621624375828,1
R0272,23.3217,73.5535,1988571,112013,4245,0.0378973869104478,1
R0273,24.3606,72.9066,957150,13601,755,0.0555106242188074,3
R0274,23.0833,73.0024,441820,20989,856,0.0407832674257944,3
R0275,22.9335,71.8483,1524518,52336,3187,0.0608949862427392,3
R0276,23.5098,71.6975,1985342,148682,6963,0.0468314927159979,1
R0277,23.993,72.6848,1065868,57184,2969,0.0519201175153889,3
R0278,22.7752,72.6782,1574954,93886,4551,0.0484736808469846,1
R0279,22.3937,71.5064,220903,16697,528,0.0316224471461939,3
R0280,23.4289,71.6887,1221158,56292,1602,0.0284587507994031,3
R0281,23.0176,73.2422,1984708,138135,7019,0.050812610851703,1
R0282,22.9434,73.3067,1742710,115741,4476,0.0386725533734804,1
R0283,22.488,73.365,207792,7939,439,0.0552966368560272,3
R0284,22.3037,72.5939,1299895,87838,4383,0.0498986771101345,1
R0285,23.0025,73.2256,1232193,78289,3922,0.0500964375582776,1
R0286,21.973,71.7193,766692,11325,531,0.046887417218543,3
R0287,23.0678,72.9952,1933353,77865,4058,0.0521158415205804,1
R0288,21.4421,71.8199,1299611,32649,1585,0.0485466629912095,3
R0289,24.2471,73.5464,346448,4952,237,0.0478594507269789,3
R0290,24.2151,72.6903,1968173,52634,2617,0.049720712847209,3
R0291,22.5318,72.3294,1399714,20100,1037,0.051592039800995,3
R0292,23.0249,72.921,647194,34736,2150,0.0618954398894518,3
R0293,20.9794,73.3189,304885,21970,798,0.0363222576240327,3
R0294,22.8427,71.6353,1663698,102072,3264,0.0319774276980954,1
R0295,22.5613,70.4986,87424,2464,109,0.0442370129870129,3
R0296,23.3359,71.3883,73635,1979,298,0.1505811015664477,3
R0297,23.0103,73.0348,263985,12765,790,0.0618879749314531,3
R0298,22.8957,72.5496,342594,11212,455,0.040581519800214,3
R0299,22.8841,73.9408,782982,29450,1905,0.064685908319185,3
R0300,22.855,72.0361,1391862,56554,3415,0.0603847650033596,3
